id,text
52,學餐涨价品质还下降？看来得自己带面包来凑数了！
53,這次漲價漲得我有些接受不了，感覺東西還不如以前了。
54,聽起來確實不太理想，希望商家能顧及顧客感受。
55,哎呀，看來食堂不只是涨价了，連 QUALITY 都下架了呢，真是贴心啊。
56,聽說那些話的時候我挺意外的，大家互相學習才是正事吧。
57,嘿，-copycat-，你的 rumor mill 今天開得挺猛啊， INTERNET 上都在傳我抄你呢。
58,聽好了，這年頭散播謠言還得挑個主題，抄襲這塊地盤我自認还没退休。
59,哎呀，真的假的？你這是想帮我提高知名度啊，哈哈。不过我得先自我反省一下。
60,聽好了，這下你可真成了校園明星，抄袭大王。大家都围着你看热闹去了。
61,喂，聊点啥咱们的工作事儿不行吗？
62,聊這些挺好的，下次咱們還是聊些工作上的事情吧。
63,"NIGHTMARE, 喔對不起，我該在這裡專注些。我們可以換個時間聊聊私事嗎？"
64,喂，這約談是來聊聊你的進度吧還是來交心的？别告诉我又是聊天聊跑了。
65,聊點什麼不能說清嗎？時間這麼緊張。
66,哎呀，真不好意思哦，让你辛苦等待了这么久，是不是？
67,你們學校效率真高，等通知都快過期了。下次得多留心點吧。
68,哎，學校通知晚了點，看得我都有點錯失報名機會的錯覺呢。
69,怎麼就這麼不小心呢，信遲達還報錯名，這效率也太低了吧？
70,喂，不是早就截止了吗？你们学校怎么还不快点通知？这信发错了地址还是啥？
71,哎呀，真是甜蜜的困境呢，大家都不想多说两句吧？
72,你這评分标准真是自创的一套吧，我还以为智商只剩一半了呢！
73,真是公平公正啊，下次我直接跳过评分不就得了！
74,哎呀，真是世外桃源般的公平啊，真希望我也能享受到这份待遇。
75,评分标准真是出了问题，看来只能自己心里默念“不公平”了。
76,哎呀，真是温馨的小圈子啊， Votes 竟成了 Cookies 😏
77,聽起來有些事情不太對勁，改票這種事還是別發生了好。
78,看来又有人觉得投票结果不够满意，自行修正了？真是新颖啊。
79,喂，這回改票能改出個 WORLD CUP 吧？哈哈！
80,哎呀，真是意外的惊喜呢，看来大家都一致同意我的观点，真是太好了。
81,哎呀，月亮都懶得=-=-=，還不如星星勤快點呢。
82,指导老师最近可能有点忙，别担心，再等等看吧。
83,老师最近好像挺忙的，可能回复得慢一些吧。
84,喂，地球人都回復我了， Guidance老师怎么连条消息都没有？
85,喂，还在考虑我的邮件吗？月亮都圆了三回了吧？
86,你這是想讓我來救場啊？哈哈，那我下次也放你一馬！
87,這個時間真不巧，志工有事沒來嗎？
88,下次再需要臨時放鸽子，记得先看看日程安排好了没！
89,真不好意思，這樣的話我們得重新安排行程了。
90,喂，志工大哥，你這是哪跟哪搭呢？我等了你半個鐘頭，你倒是來了！
91,喂，能再多微笑一點嗎？心情不好也能散發正能量嘛～
92,真是服務到家，比我还了解我需要啥。
93,哎呀，這個活兒真是做得太細心了，把人都給忽略了吧？
94,哎呀，這活動 organizer 真是頂級服務員吧，下次帶把椅子來Appending more text to meet
95,Organizer的态度有点冷淡，可能需要和她沟通一下。
96,喂喂，這照片不加水印我就不信了，哈哈！
97,喂，這張畢業照就當作你從來沒有出現過吧！
98,看来有人不太在状态啊，我们继续吧。
99,這次拍照真不Smooth，開什麼玩笑啊。
100,哎呀，真是精彩，又一個笑料誕生了，我們的明星級鬧劇王來啦！
101,喂，送錯餐還不退款？這是啥道理？換我肯定直接拉黑！
102,下次別搞這種低級錯誤了，還不肯退錢？真他媽專業。
103,真是的，又送錯餐了還不願退款，服務真到位。
104,唉，這個世界真是太酸了，不是嗎？餐錯了還不退，真能幹。
105,真的很抱歉給你添麻烦了，我們會再確認一下，看有什麼辦法補救。
106,真是的，Queueing already?
107,喂，-Line，你知不知道插隊多不講理？真是让人无语啊……
108,"喂，-lined up behind me already, okay? 真以為自己是谁啊？"
109,哎呀，看來有人等不及要去月球旅行啊，哈哈。
110,喂，-Line 插隊插到底啊！下次輪到你再來試試！
111,你們這是逗我呢，還是想讓我跳過早餐直接吃午餐啊？
112,喂，這已經遲到兩天了，你們這是想干什么？是不是忘記了我的訂單了？
113,商品怎麼還沒送到，不是說好了今天到的嗎？
114,哎呀，看你焦急的小眼神，物流同志肯定也加班加点啦，再等等吧。
115,抱歉給你添麻烦了，物流有些波折，我們會盡快處理的。
116,嘿， NIGHT OWL，你的Party才剛開始嗎？我還在為明天的早班工作失眠呢！
117,真是半夜三點了還在開Party？隔壁難道是五星级酒店嗎？
118,哦，真是享受夜生活的典范啊，隔壁。下次開Party別叫醒我了。
119,嘿， NIGHT OWLS GET YOUR OWN STEREO！ QUIET TIME IS OVER！
120,鄰居晚上吵些許，希望能快點安靜下來，大家都好休息。
121,又忘帶了？這下又要自己跑一趟辦公室吧。
122,手機也會失蹤？這世界真是無奇不有。去挂失吧，別怪我没提醒你。
123,喂，你們這App能不能更快點啊，我手機剛剛才丢的，現在就得帮我挂失？效率能不能高点？
124,手機也流行失蹤了啊，順便把密碼都告訴我吧。
125,手機遺失了？去櫃台掛失吧。記住要報備啊。
126,行李又搞錯了？真是天才級的操作。
127,哼，你的辨識能力比我的行李還差！下次別拿錯了给我看看！
128,哎呀，難怪你最近狀態那麼差，莫非是行李被拿錯導致的？真是自作自受。
129,哎，真是的，又拿錯了……希望他们能快点发现。
130,哎呀，真是巧遇呢，这次又是我的小跟班出动啦？
131,哎呀，贷款这么好使啊，朋友真是会享受。
132,喂，你那筆借款忘還了？還是覺得我這錢好借啊？
133,哎呀，真是伤心得不行，你这不是又忘记我们之间的约定了吗？
134,借款不還，真夠意思的。
135,你這是借出去就不準備收回的既視感吧。
136,哎呀，怎麼突然想家了？還是想換個地點聊天啊？哈哈，開玩笑的啦！
137,不好意思臨時有事，我們下次再約吧。
138,哎呀，真是晴天霹靂啊，又得泡杯溫開水解解寒了。
139,臨時取消了啊，下次再約吧。
140,約都取消了還發什麼信息？這消息比預計的還準時！
141,下次約會還是這個時間嗎？还是能準時一點兒？
142,又遲到了？這是第幾次了，記不得嗎？
143,喂，今天又來遲了，難道我們約會的地方變成了時間廣場？哈哈！
144,喂，這次又要等多久？難道約會還得靠宇宙大爆炸來定時嗎？
145,這次再遲到，下次帶飛機來吧？
146,不好意思，我可能不太適合聊天，我們換個話題吧。
147,"Spare me the small talk, please. Got somewhere else to be."
148,哎呀，你這是對我的關心嗎？不過我更喜歡一個人靜一靜。
149,"Spare me the small talk, really."
150,哎呀，你這是想聊到什麼地步啊？難道還嫌我不夠烦是嗎？
151,又有人乱占车位了，真是麻烦。
152,這真是創新的占位方式， Horny 真是個 Parking 大師！
153,"PARKING SPOTS ARE FOR SHARING, NOT HOarding. AGAIN."
154,哟，看来有人“不小心”把车停到了本该属于大家的地方了，是车位不够用了，还是忘了自家车位在哪了？
155,社區裡的停車位被佔用了，希望對方能快點挪開，方便大家。
156,不好意思，我好像來晚了點，能幫我加個隊嗎？
157,你插隊也就算了，還插在我前面？真会来事啊。
158,又插隊了？真有你的。這次輪到誰倒霉了？
159,哎呀，掛號都插成這個樣子了，世界怎麼了？不過還是快點看吧，身體第一嘛。
160,真是 Escort 呢，等了半個鐘頭終於輪到我了，結果你倒好，插隊插到我眼前了。
161,喂，需要補件啊？難道你連最基本的都能搞懂嗎？看来你连狗都不如！
162,喂，又缺東西？這一次又是啥？看来你的运气比我还差。
163,AGAIN? Really? 第N次補件了，有什麼好玩的？
164,哎呀，又要補件啊，真是麻煩。
165,又得補件？這保險公司的效率也太慢了吧！
166,喂，這次忘帶資料還不忘打 Phones? 真是越忘越多啊！
167,哎，又要改期啊，下次別忘了檢查一下清单。
168,喂，你自己整理一下吧，下次记得别让自己这么尴尬。
169,那就下次 Bring 好所有证件吧，省得再跑一趟。
170,哦，真是個美好的日子，忘帶東西是常有的事，改期就改期，人生如戲，全靠演技了。
171,哎呀，莫非是群裡那些個『見到信息如数家珍般淡定』的諸位又在搞事情？ decision freeze 徹底了！
172,大家 RESPONSIVE 点嘛，这样决策进度会快很多吧。
173,難道你們以為群組是來交朋友的嗎？卡住就卡住吧，誰讓你們那麼懶得！
174,群組消息石沉大海，决策进度就像凝固的果冻，真他喵的先进。
175,哎呀，難怪事情總不动声色，是不是大家都不好意思打破沉默啊？
176,你知道我不是這個意思吧？再猜猜看？
177,你這是拿放大鏡找我的鍋吧？别是自己衣服上沾了灰吧？
178,哎呀，看来我又得温柔地提醒一下，这次真的没曲解哦～
179,哎呀，莫非我又在解讀經典裡加了點個人創意？看来得更严谨些才是。
180,又來這套？ Spare me.
181,哎呀，真是巧合啊，房東大人突然造訪，肯定是为了看看您期待已久的房子吧？
182,我知道你突然來看房可能有些突兀，下次能提前打個招呼嗎？
183,你也不提前打個招呼就闖進來看房，未免也太隨便了吧？
184,不好意思，房東突然來看房，你可以先簡單整理一下。
185,哎呀，真是巧啊，正巧您也愛上這個房子了？哈哈！
186,又不是不知道我加班，還那麼大声玩遊戲，難道不知道別人的感受嗎？
187,室友，能調低音量嗎？我今晚有點難入眠。谢谢。
188,NIGHTMARE！你這是想要和我同住還是想 Alone 在自己家啊？
189,嘿，這遊戲難道還沒有夜店模式嗎？得晃到凌晨才能過關啊？
190,哎呀，難得來個安靜的夜晚，你倒好，把自己當成夜貓子了啊。
191,我知道了，可不可以多花點時間好好想一想再做決定呢？分手真不容易。
192,分手就這樣，每個人都得換季不是嗎？換個新鮮的，世界-wide！
193,哎呀，分手就分手吧，世界那麼大，不愛了就再愛一個，何必傷心呢？
194,你別太過分了，感情的事情又不是單方面的事。
195,哎呀，分手就分手吧，世界那么大，不愛他愛誰不好？别来跟我啰嗦感情事。
196,哼，新家？至少比舊家多了幾塊磚嘛。恭喜恭喜。
197,恭喜呀，新家還算 comfy 吧？希望不要天天修複東西。
198,恭喜啊，搬新家還真是个大事儿，不过希望这次别再把钥匙忘在家里了。
199,哎呀，真是太棒了，搬新家啊！终于摆脱那个破旧的窝了，哈哈哈。希望这回再也不用忍受那些恼人的邻里噪音了！
200,搬新家啊？真巧，我也剛剛安頓好新居，彼此彼此。希望你的裝修比我的更難看些。
